"State","Pop","legalWeedStatus","medicinalWeedStatus","decriminalizedWeedStatus","state"
"Alabama",4908621,"Fully Illegal",false,false,"Alabama"
"Alaska",734002,"Fully Legal",true,true,"Alaska"
"Arizona",7378494,"Mixed",true,false,"Arizona"
"Arkansas",3038999,"Mixed",true,false,"Arkansas"
"California",39937489,"Fully Legal",true,true,"California"
"Colorado",5845526,"Fully Legal",true,true,"Colorado"
"Connecticut",3563077,"Mixed",true,false,"Connecticut"
"Delaware",982895,"Mixed",true,false,"Delaware"
"District of Columbia",720687,"Fully Legal",true,true,"District of Columbia"
"Florida",21992985,"Mixed",true,false,"Florida"
"Georgia",10736059,"Mixed",false,false,"Georgia"
"Hawaii",1412687,"Mixed",true,false,"Hawaii"
"Idaho",1826156,"Fully Illegal",false,false,"Idaho"
"Illinois",12659682,"Mixed",true,false,"Illinois"
"Indiana",6745354,"Mixed",false,false,"Indiana"
"Iowa",3179849,"Mixed",false,false,"Iowa"
"Kansas",2910357,"Fully Illegal",false,false,"Kansas"
"Kentucky",4499692,"Fully Illegal",false,false,"Kentucky"
"Louisiana",4645184,"Mixed",true,false,"Louisiana"
"Maine",1345790,"Fully Legal",true,true,"Maine"
"Maryland",6083116,"Mixed",true,false,"Maryland"
"Massachusetts",6976597,"Fully Legal",true,true,"Massachusetts"
"Michigan",10045029,"Fully Legal",true,true,"Michigan"
"Minnesota",5700671,"Mixed",true,false,"Minnesota"
"Mississippi",2989260,"Fully Illegal",false,false,"Mississippi"
"Missouri",6169270,"Mixed",true,false,"Missouri"
"Montana",1086759,"Mixed",true,false,"Montana"
"Nebraska",1952570,"Fully Illegal",false,false,"Nebraska"
"Nevada",3139658,"Fully Legal",true,true,"Nevada"
"New Hampshire",1371246,"Mixed",true,false,"New Hampshire"
"New Jersey",8936574,"Mixed",true,false,"New Jersey"
"New Mexico",2096640,"Mixed",true,false,"New Mexico"
"New York",19440469,"Mixed",true,false,"New York"
"North Carolina",10611862,"Fully Illegal",false,false,"North Carolina"
"North Dakota",761723,"Mixed",true,false,"North Dakota"
"Ohio",11747694,"Mixed",true,false,"Ohio"
"Oklahoma",3954821,"Mixed",true,false,"Oklahoma"
"Oregon",4301089,"Fully Legal",true,true,"Oregon"
"Pennsylvania",12820878,"Mixed",true,false,"Pennsylvania"
"Rhode Island",1056161,"Mixed",true,false,"Rhode Island"
"South Carolina",5210095,"Fully Illegal",false,false,"South Carolina"
"South Dakota",903027,"Fully Illegal",false,false,"South Dakota"
"Tennessee",6897576,"Fully Illegal",false,false,"Tennessee"
"Texas",29472295,"Mixed",false,false,"Texas"
"Utah",3282115,"Mixed",true,false,"Utah"
"Vermont",628061,"Fully Legal",true,true,"Vermont"
"Virginia",8626207,"Mixed",false,false,"Virginia"
"Washington",7797095,"Fully Legal",true,true,"Washington"
"West Virginia",1778070,"Mixed",true,false,"West Virginia"
"Wisconsin",5851754,"Fully Illegal",false,false,"Wisconsin"
"Wyoming",567025,"Fully Illegal",false,false,"Wyoming"